prod_id, category, title, actor, price
130,5, ACADEMY CELEBRITY, RIVER PALTROW,19.99
131,4, ACADEMY CENTER, SYLVESTER HUSTON,9.99
132,12, ACADEMY CHAINSAW, BOB MATTHAU,29.99
133,8, ACADEMY CHAMBER, PEARL PRESLEY,9.99
134,12, ACADEMY CHAMPION, BRAD WAHLBERG,25.99
135,5, ACADEMY CHANCE, RICHARD DEGENERES,10.99
136,3, ACADEMY CHAPLIN, ORLANDO WATSON,11.99
137,6, ACADEMY CHARADE, JEREMY ODONNELL,18.99
138,10, ACADEMY CHARIOTS, BEN BULLOCK,16.99
139,2, ACADEMY CHASING, LAUREN THERON,13.99
140,5, ACADEMY CHEAPER, PARKER WAYNE,11.99
141,7, ACADEMY CHICAGO, JENNIFER DAVIS,12.99
142,1, ACADEMY CHICKEN, CARRIE MIRANDA,18.99
143,13, ACADEMY CHILL, STEVE NOLTE,27.99
144,9, ACADEMY CHINATOWN, THORA CRAWFORD,11.99
145,11, ACADEMY CHISUM, KATE PACINO,17.99
146,15, ACADEMY CHITTY, RALPH DAY-LEWIS,16.99
147,13, ACADEMY CHOCOLAT, NICOLE GRANT,28.99
148,12, ACADEMY CHOCOLATE, JULIA MCQUEEN,22.99
149,11, ACADEMY CHRISTMAS, OPRAH BACALL,21.99
150,4, ACADEMY CIDER, ROSIE ROBERTS,24.99
151,6, ACADEMY CINCINATTI, SIDNEY BRANAGH,11.99
152,4, ACADEMY CIRCUS, MARLON DRIVER,28.99
153,13, ACADEMY CITIZEN, CHARLES WATSON,15.99
154,14, ACADEMY CLASH, MATTHEW DEE,22.99
155,13, ACADEMY CLEOPATRA, LEELEE BACALL,21.99
156,5, ACADEMY CLERKS, SHIRLEY BERRY,12.99
157,8, ACADEMY CLOCKWORK, MARISA GOLDBERG,11.99
158,10, ACADEMY CLONES, RICHARD BOLGER,24.99
159,7, ACADEMY CLOSER, LENA DIETRICH,10.99
160,15, ACADEMY CLUB, JESSICA NEWMAN,18.99
161,4, ACADEMY CLUE, FRED LOLLOBRIGIDA,11.99
162,8, ACADEMY CLUELESS, SALLY CRUISE,11.99
163,1, ACADEMY CLYDE, FAY TRACY,25.99
164,3, ACADEMY COAST, WALTER BALL,25.99
165,4, ACADEMY COLDBLOODED, KATE WRAY,23.99
166,15, ACADEMY COLOR, HUMPHREY PECK,13.99
167,11, ACADEMY COMA, GREGORY FINNEY,20.99
168,12, ACADEMY COMANCHEROS, KATHARINE HORNE,9.99
169,12, ACADEMY COMFORTS, DUSTIN HOFFMAN,22.99
170,9, ACADEMY COMMAND, GREG HECHE,10.99
171,15, ACADEMY COMMANDMENTS, JULIANNE WOOD,14.99
172,8, ACADEMY CONEHEADS, MEL SUVARI,25.99
173,7, ACADEMY CONFESSIONS, LEONARDO BOLGER,29.99
174,3, ACADEMY CONFIDENTIAL, GENE SANDLER,17.99
175,12, ACADEMY CONFUSED, WALTER WINFREY,10.99
176,15, ACADEMY CONGENIALITY, ANDY TORN,17.99
177,13, ACADEMY CONNECTICUT, AUDREY MCDORMAND,18.99
178,10, ACADEMY CONNECTION, KIRK SPACEK,13.99
179,2, ACADEMY CONQUERER, JODIE WILLIS,17.99
180,15, ACADEMY CONSPIRACY, SOPHIA BOLGER,27.99
181,15, ACADEMY CONTACT, RIVER BLANCHETT,29.99
182,4, ACADEMY CONTROL, LUCILLE DRIVER,14.99
183,12, ACADEMY CONVERSATION, SCARLETT GABLE,14.99
184,16, ACADEMY CORE, MAE MCDORMAND,18.99
185,6, ACADEMY COWBOY, BRAD WALKEN,14.99
186,3, ACADEMY CRAFT, HELEN PFEIFFER,9.99
187,1, ACADEMY CRANES, CLARK THURMAN,22.99
188,11, ACADEMY CRAZY, EWAN TAYLOR,20.99
189,4, ACADEMY CREATURES, JENNIFER BRANDO,27.99
190,14, ACADEMY CREEPERS, HENRY TURNER,29.99
191,4, ACADEMY CROOKED, SUSAN GARCIA,22.99
192,9, ACADEMY CROSSING, JUDE GOLDBERG,23.99
193,10, ACADEMY CROSSROADS, JULIANNE ODONNELL,27.99
194,12, ACADEMY CROW, RALPH HORNE,12.99
195,11, ACADEMY CROWDS, ED CRONYN,9.99
196,4, ACADEMY CRUELTY, PEARL GRANT,11.99
197,12, ACADEMY CRUSADE, JULIANNE KIDMAN,14.99
198,15, ACADEMY CRYSTAL, DUSTIN STALLONE,17.99
199,2, ACADEMY CUPBOARD, UMA HORNE,27.99
200,4, ACADEMY CURTAIN, JEFF DOUGLAS,18.99
201,15, ACADEMY CYCLONE, WILL KAHN,22.99
202,13, ACADEMY DADDY, JULIA GRANT,15.99
203,14, ACADEMY DAISY, LAUREN KIDMAN,11.99
204,10, ACADEMY DALMATIONS, RALPH BALL,19.99
205,13, ACADEMY DANCES, MILLA CAINE,13.99
206,14, ACADEMY DANCING, JULIANNE HUNT,25.99
207,13, ACADEMY DANGEROUS, KIM WALKEN,15.99
208,1, ACADEMY DARES, NATALIE BRANDO,21.99
209,16, ACADEMY DARKNESS, MORGAN RUSSELL,24.99
210,3, ACADEMY DARKO, PENELOPE BLOOM,27.99
211,14, ACADEMY DARLING, RUSSELL CAMPBELL,17.99
212,9, ACADEMY DARN, SPENCER PALTROW,11.99
213,5, ACADEMY DATE, EMILY BAILEY,9.99
214,12, ACADEMY DAUGHTER, EMILY LUGOSI,18.99
215,2, ACADEMY DAWN, MARY HUDSON,27.99
216,4, ACADEMY DAY, CARRIE CRUISE,11.99
217,2, ACADEMY DAZED, PARKER CAMPBELL,29.99
218,3, ACADEMY DECEIVER, RENEE LAW,17.99
219,15, ACADEMY DEEP, ANDY FIELD,12.99
220,12, ACADEMY DEER, RITA SOBIESKI,17.99
221,7, ACADEMY DELIVERANCE, GREG WATSON,19.99
222,10, ACADEMY DESERT, ANTHONY BRODY,16.99
223,2, ACADEMY DESIRE, SIDNEY DERN,28.99
224,6, ACADEMY DESPERATE, RENEE LANSBURY,17.99
225,12, ACADEMY DESTINATION, HARRISON HOPE,20.99
226,12, ACADEMY DESTINY, ADRIEN DAY-LEWIS,9.99
227,16, ACADEMY DETAILS, CHRISTIAN DUNST,9.99
228,6, ACADEMY DETECTIVE, KATE PINKETT,14.99
229,12, ACADEMY DEVIL, ORLANDO AFFLECK,20.99
230,2, ACADEMY DIARY, THORA CAGE,18.99
231,9, ACADEMY DINOSAUR, WINONA HACKMAN,20.99
232,10, ACADEMY DIRTY, AL HARRIS,24.99
233,1, ACADEMY DISCIPLE, HENRY SARANDON,20.99
234,13, ACADEMY DISTURBING, ANDY RYAN,20.99
235,1, ACADEMY DIVIDE, KIRK HAWKE,28.99
236,12, ACADEMY DIVINE, MARLENE HACKMAN,23.99
237,7, ACADEMY DIVORCE, JON KAHN,18.99
238,2, ACADEMY DOCTOR, NICOLE DUKAKIS,18.99
239,9, ACADEMY DOGMA, LENA MCQUEEN,20.99
240,16, ACADEMY DOLLS, GREG CRUZ,20.99
241,13, ACADEMY DONNIE, LISA TANDY,18.99
242,9, ACADEMY DOOM, ANNE WRAY,9.99
243,16, ACADEMY DOORS, LISA KEATON,24.99
244,9, ACADEMY DORADO, BURT JOLIE,11.99
245,1, ACADEMY DOUBLE, JODIE ASTAIRE,17.99
246,10, ACADEMY DOUBTFIRE, JOHN GABLE,13.99
247,13, ACADEMY DOWNHILL, ANGELINA FISHER,26.99
248,3, ACADEMY DOZEN, ZERO FISHER,24.99
249,4, ACADEMY DRACULA, JOHNNY LOLLOBRIGIDA,16.99
250,10, ACADEMY DRAGON, KIRK POSEY,11.99
251,12, ACADEMY DRAGONFLY, JOAN POITIER,13.99
252,5, ACADEMY DREAM, LEELEE PFEIFFER,15.99
253,13, ACADEMY DRIFTER, EWAN ODONNELL,25.99
254,13, ACADEMY DRIVER, SPENCER NICHOLSON,14.99
255,14, ACADEMY DRIVING, GWYNETH MCQUEEN,16.99
256,9, ACADEMY DROP, ELIZABETH HUDSON,29.99
257,4, ACADEMY DRUMLINE, UMA WAYNE,26.99
258,13, ACADEMY DRUMS, CLARK BASINGER,10.99
259,7, ACADEMY DUCK, FRED MCKELLEN,14.99
260,15, ACADEMY DUDE, WALTER PFEIFFER,14.99
261,13, ACADEMY DUFFEL, CHRISTIAN MARX,9.99
262,4, ACADEMY DUMBO, RALPH SINATRA,12.99
263,11, ACADEMY DURHAM, BRAD HAWKE,26.99
264,8, ACADEMY DWARFS, LANA SPACEK,25.99
265,2, ACADEMY DYING, DENNIS ALLEN,9.99
266,12, ACADEMY DYNAMITE, TIM BACALL,27.99
267,12, ACADEMY EAGLES, GLENN DICAPRIO,20.99
268,10, ACADEMY EARLY, HELEN BLOOM,23.99
269,10, ACADEMY EARRING, MEL GRANT,13.99
270,11, ACADEMY EARTH, RIVER DEE,27.99
271,4, ACADEMY EASY, CANDICE AFFLECK,12.99
272,11, ACADEMY EDGE, JADA MIRANDA,29.99
273,16, ACADEMY EFFECT, VIVIEN PRESLEY,16.99
274,3, ACADEMY EGG, EMILY BENING,27.99
275,11, ACADEMY EGYPT, MARISA WATSON,19.99
276,10, ACADEMY ELEMENT, SUSAN BALL,23.99
277,14, ACADEMY ELEPHANT, JOAN STREEP,15.99
278,3, ACADEMY ELF, IAN RUSH,11.99
279,16, ACADEMY ELIZABETH, SPENCER DUNST,14.99
280,11, ACADEMY EMPIRE, BRUCE SOBIESKI,15.99
281,4, ACADEMY ENCINO, WILLEM TORN,12.99
282,16, ACADEMY ENCOUNTERS, AL HOPPER,18.99
283,2, ACADEMY ENDING, MADELINE TOMEI,19.99
284,6, ACADEMY ENEMY, ANGELA WITHERSPOON,14.99
285,7, ACADEMY ENGLISH, ALICIA TRACY,20.99
286,8, ACADEMY ENOUGH, ED HOPPER,18.99
287,10, ACADEMY ENTRAPMENT, FRANK LUGOSI,21.99
288,8, ACADEMY ESCAPE, TIM CAGE,10.99
289,14, ACADEMY EVE, SPENCER ZELLWEGER,27.99
290,2, ACADEMY EVERYONE, ANGELINA NORTON,11.99
291,8, ACADEMY EVOLUTION, NATALIE NICHOLSON,23.99
292,9, ACADEMY EXCITEMENT, THORA PENN,26.99
293,15, ACADEMY EXORCIST, BRAD RYAN,26.99
294,12, ACADEMY EXPECATIONS, NEVE PFEIFFER,22.99
295,13, ACADEMY EXPENDABLE, MEG PACINO,26.99
296,2, ACADEMY EXPRESS, LANA DUKAKIS,26.99
297,3, ACADEMY EXTRAORDINARY, HUME LANCASTER,11.99
298,2, ACADEMY EYES, JULIETTE DRIVER,12.99
299,15, ACADEMY FACTORY, CHARLES STALLONE,22.99
300,11, ACADEMY FALCON, JESSICA DUKAKIS,15.99
301,4, ACADEMY FAMILY, LAURA DERN,25.99
302,8, ACADEMY FANTASIA, CARY DRIVER,27.99
303,10, ACADEMY FANTASY, RITA HUNT,11.99
304,9, ACADEMY FARGO, ORLANDO LANCASTER,23.99
305,8, ACADEMY FATAL, KEVIN SINATRA,28.99
306,4, ACADEMY FEATHERS, UMA FINNEY,25.99
307,6, ACADEMY FELLOWSHIP, GOLDIE LANCASTER,19.99
308,1, ACADEMY FERRIS, DARYL ANISTON,26.99
309,13, ACADEMY FEUD, HUME ODONNELL,19.99
310,13, ACADEMY FEVER, HUMPHREY SORVINO,15.99
311,1, ACADEMY FICTION, RUBY WATSON,29.99
312,1, ACADEMY FIDDLER, JON BENING,16.99
313,2, ACADEMY FIDELITY, TIM LEIGH,14.99
314,2, ACADEMY FIGHT, PAUL CLOSE,19.99
315,2, ACADEMY FINDING, WINONA HOPPER,19.99
316,1, ACADEMY FIRE, MATTHEW RYDER,27.99
317,14, ACADEMY FIREBALL, JEFF REYNOLDS,15.99
318,4, ACADEMY FIREHOUSE, KIRSTEN CHASE,12.99
319,4, ACADEMY FISH, CARY KINNEAR,9.99
320,3, ACADEMY FLAMINGOS, EMILY COSTNER,12.99
321,15, ACADEMY FLASH, RUBY PFEIFFER,20.99
322,16, ACADEMY FLATLINERS, HALLE HOPE,17.99
323,7, ACADEMY FLIGHT, LIZA AKROYD,29.99
324,15, ACADEMY FLINTSTONES, LEELEE HECHE,10.99
325,15, ACADEMY FLOATS, RIVER MCDORMAND,12.99
326,4, ACADEMY FLYING, DREW NICHOLSON,10.99
327,11, ACADEMY FOOL, FRANCES CRUZ,9.99
328,8, ACADEMY FOREVER, AUDREY WRAY,11.99
329,3, ACADEMY FORREST, MEL TOMEI,24.99
330,7, ACADEMY FORRESTER, NICOLE STALLONE,13.99
331,12, ACADEMY FORWARD, DEBBIE CROWE,29.99
332,14, ACADEMY FRANKENSTEIN, MARISA TORN,11.99
333,3, ACADEMY FREAKY, DREW HARRIS,14.99
334,9, ACADEMY FREDDY, BETTE NICHOLSON,12.99
335,5, ACADEMY FREEDOM, SIDNEY SOBIESKI,10.99
336,10, ACADEMY FRENCH, ANTHONY RUSH,25.99
337,4, ACADEMY FRIDA, DANIEL LAW,27.99
338,2, ACADEMY FRISCO, JULIETTE STREEP,16.99
339,9, ACADEMY FROGMEN, NATALIE MALDEN,22.99
340,11, ACADEMY FRONTIER, WILLIAM BIRCH,21.99
341,8, ACADEMY FROST, RITA PENN,19.99
342,14, ACADEMY FUGITIVE, CARY PITT,9.99
343,3, ACADEMY FULL, MARLENE POSEY,23.99
344,12, ACADEMY FURY, GRACE MOSTEL,18.99
345,10, ACADEMY GABLES, DANIEL WITHERSPOON,21.99
346,10, ACADEMY GALAXY, ANGELINA AKROYD,17.99
347,16, ACADEMY GAMES, FRANK FOSTER,11.99
348,15, ACADEMY GANDHI, MATTHEW JOHANSSON,21.99
349,6, ACADEMY GANGS, JAYNE THERON,22.99
350,13, ACADEMY GARDEN, NATALIE WAHLBERG,29.99
351,5, ACADEMY GASLIGHT, FAY BOLGER,16.99
352,15, ACADEMY GATHERING, CHARLTON KEATON,13.99
353,3, ACADEMY GENTLEMEN, AL LANSBURY,25.99
354,10, ACADEMY GHOST, ANNETTE HOPE,9.99
355,13, ACADEMY GHOSTBUSTERS, GARY TAYLOR,19.99
356,13, ACADEMY GIANT, SPENCER CAMPBELL,10.99
357,15, ACADEMY GILBERT, VAL HACKMAN,9.99
358,9, ACADEMY GILMORE, CATE PFEIFFER,20.99
359,12, ACADEMY GLADIATOR, MINNIE BRANDO,25.99
360,3, ACADEMY GLASS, MENA TYLER,19.99
361,5, ACADEMY GLEAMING, MATTHEW CROWE,13.99
362,11, ACADEMY GLORY, KIM CAMPBELL,21.99
363,3, ACADEMY GO, SHIRLEY PENN,15.99
364,10, ACADEMY GODFATHER, JULIA ANISTON,14.99
365,2, ACADEMY GOLD, KIRSTEN AFFLECK,25.99
366,6, ACADEMY GOLDFINGER, CHRIS RYAN,29.99
367,3, ACADEMY GOLDMINE, KIRK MCGREGOR,23.99
368,14, ACADEMY GONE, JEREMY GIBSON,24.99
369,3, ACADEMY GOODFELLAS, OLYMPIA DEGENERES,23.99
370,6, ACADEMY GORGEOUS, KIRSTEN MATTHAU,27.99
371,14, ACADEMY GOSFORD, SALLY PENN,9.99
372,8, ACADEMY GRACELAND, JOE SWANK,9.99
373,13, ACADEMY GRADUATE, ANNETTE HAYEK,13.99
374,16, ACADEMY GRAFFITI, WHOOPI FINNEY,23.99
375,5, ACADEMY GRAIL, BRUCE FIENNES,26.99
376,15, ACADEMY GRAPES, DIANE BERRY,24.99
377,10, ACADEMY GREASE, PENELOPE LEIGH,10.99
378,13, ACADEMY GREATEST, PAUL FREEMAN,26.99
379,10, ACADEMY GREEDY, ELVIS KAHN,20.99
380,1, ACADEMY GREEK, KIRSTEN HURT,11.99
381,11, ACADEMY GRINCH, SALLY DAMON,27.99
382,13, ACADEMY GRIT, KATHARINE LAW,21.99
383,15, ACADEMY GROOVE, JOE HEPBURN,23.99
384,11, ACADEMY GROSSE, KIM SUVARI,27.99
385,3, ACADEMY GROUNDHOG, EDWARD HECHE,23.99
386,8, ACADEMY GUMP, PARKER DAFOE,16.99
387,6, ACADEMY GUN, FAY STREEP,27.99
388,16, ACADEMY GUNFIGHT, HARRISON FORD,19.99
389,9, ACADEMY GUNFIGHTER, JUDE MONROE,10.99
390,14, ACADEMY GUYS, GOLDIE NOLTE,11.99
391,11, ACADEMY HALF, BOB THURMAN,17.99
392,3, ACADEMY HALL, ADAM LANSBURY,18.99
393,7, ACADEMY HALLOWEEN, OPRAH HAYEK,24.99
394,7, ACADEMY HAMLET, JAMES HAWN,28.99
395,13, ACADEMY HANDICAP, MARLON GABLE,11.99
396,1, ACADEMY HANGING, TOM BRANDO,11.99
397,5, ACADEMY HANKY, NEVE NORTON,14.99
398,12, ACADEMY HANOVER, LAURA JOLIE,18.99
399,4, ACADEMY HAPPINESS, SISSY MOSTEL,23.99
400,11, ACADEMY HARDLY, NICOLE GOLDBERG,15.99
401,6, ACADEMY HAROLD, GENE KUDROW,15.99
402,8, ACADEMY HARPER, KATHARINE WILLIAMS,13.99
403,6, ACADEMY HARRY, CHRISTOPHER WATSON,28.99
404,7, ACADEMY HATE, BETTE MCGREGOR,15.99
405,12, ACADEMY HAUNTED, ANDY WAYNE,18.99
406,11, ACADEMY HAUNTING, BRUCE MARX,29.99
407,14, ACADEMY HAWK, NEVE GOLDBERG,16.99
408,1, ACADEMY HEAD, SPENCER WEST,13.99
409,11, ACADEMY HEARTBREAKERS, THORA FINNEY,24.99
410,7, ACADEMY HEAVEN, CHRISTIAN GABLE,17.99
411,16, ACADEMY HEAVENLY, ALBERT HURT,10.99
412,14, ACADEMY HEAVYWEIGHTS, GARY DREYFUSS,21.99
413,9, ACADEMY HEDWIG, RUBY ODONNELL,18.99
414,13, ACADEMY HELLFIGHTERS, ANTHONY KIDMAN,23.99
415,15, ACADEMY HIGH, ANNE MCQUEEN,10.99
416,8, ACADEMY HIGHBALL, GREGORY BACALL,19.99
417,8, ACADEMY HILLS, BETTE WEST,24.99
418,11, ACADEMY HOBBIT, JAMES BLOOM,19.99
419,4, ACADEMY HOCUS, SALLY FIELD,15.99
420,16, ACADEMY HOLES, OLYMPIA TRACY,10.99
421,15, ACADEMY HOLIDAY, ROCK HUDSON,14.99
422,2, ACADEMY HOLLOW, SIGOURNEY HAWN,12.99
423,15, ACADEMY HOLLYWOOD, JULIANNE SANDLER,16.99
424,11, ACADEMY HOLOCAUST, HENRY JOVOVICH,20.99
425,11, ACADEMY HOLY, FAY RYDER,17.99
426,4, ACADEMY HOME, NEVE ROBBINS,9.99
427,16, ACADEMY HOMEWARD, CARY BRODY,27.99
428,5, ACADEMY HOMICIDE, BRAD DAFOE,26.99
429,15, ACADEMY HONEY, SIDNEY DAY,14.99
430,11, ACADEMY HOOK, JOE GUINESS,28.99
431,4, ACADEMY HOOSIERS, BRUCE WRAY,28.99
432,11, ACADEMY HOPE, ETHAN AKROYD,25.99
433,2, ACADEMY HORN, ORLANDO COOPER,12.99
434,9, ACADEMY HORROR, JULIANNE THERON,18.99
435,3, ACADEMY HOTEL, MATT SOBIESKI,21.99
436,16, ACADEMY HOURS, JENNIFER ZELLWEGER,10.99
437,4, ACADEMY HOUSE, JOHN MARTIN,18.99
438,1, ACADEMY HUMAN, KARL HUSTON,25.99
439,2, ACADEMY HUNCHBACK, HUME DAY-LEWIS,22.99
440,15, ACADEMY HUNGER, HUGH SANDLER,20.99
441,1, ACADEMY HUNTER, CHRISTOPHER GARLAND,19.99
442,16, ACADEMY HUNTING, MIRA MATTHAU,18.99
443,14, ACADEMY HURRICANE, LENA BRANAGH,16.99
444,14, ACADEMY HUSTLER, JOHN ZELLWEGER,14.99
445,14, ACADEMY HYDE, WARREN KEITEL,13.99
446,7, ACADEMY HYSTERICAL, NICOLE BRIDGES,21.99
447,12, ACADEMY ICE, PEARL LANSBURY,17.99
448,9, ACADEMY IDAHO, WARREN SMITH,11.99
